"AFG" "ALB" "ARG" "AUL" "AUS" "BEL" "BRA" "BUL" "CAN" "CHL" "CHN" "COL" "COS" "CUB" "CZE" "DEN" "DOM" "ECU" "EGY" "ETH" "FRN" "GDR" "GFR" "GRC" "GUA" "HAI" "HON" "HUN" "IND" "INS" "IRE" "IRN" "IRQ" "ISR" "ITA" "JOR" "LBR" "LEB" "MYA" "NEP" "NEW" "NIC" "NOR" "NTH" "OMA" "PAN" "PER" "PHI" "POR" "PRK" "ROK" "RUM" "SAF" "SAL" "SAU" "SPN" "SRI" "SWD" "TAW" "THI" "TUR" "UKG" "USA" "USR" "VEN" "YUG"
"AFG" NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0
"ALB" 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ARG" 0 0 NA 0 0 0 0 0 0 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AUL" 0 0 0 NA 0 0 0 0 1 0 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 2 0 -1 3 0 0 0 0 0 0 0 0 1 1 2 3 -1 0 0
"AUS" 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0
"BEL" 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0
"BRA" 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"BUL" 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 1 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 -1
"CAN" 0 0 0 1 0 0 0 0 NA 0 -1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 1 0 -1 1 0 0 0 0 0 0 0 0 0 1 2 1 -1 0 0
"CHL" 0 0 -4 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHN" 0 0 0 -3 0 0 0 0 -1 0 NA 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 -8 0 0 0 0 0 0 0 0 0 0 -2 -3 0 0 0 0 0 0 -2 0 1 -6 0 0 0 0 0 0 0 -4 -2 -1 -2 -11 -3 0 0
